Sep-Oct-Nov 1961,Sep-Oct-Nov 1962,Sep-Oct-Nov 1963,Sep-Oct-Nov 1964,Sep-Oct-Nov 1965,Sep-Oct-Nov 1966,Sep-Oct-Nov 1967,Sep-Oct-Nov 1968,Sep-Oct-Nov 1969,Sep-Oct-Nov 1970,Sep-Oct-Nov 1971,Sep-Oct-Nov 1972,Sep-Oct-Nov 1973,Sep-Oct-Nov 1974,Sep-Oct-Nov 1975,Sep-Oct-Nov 1976,Sep-Oct-Nov 1977,Sep-Oct-Nov 1978,Sep-Oct-Nov 1979,Sep-Oct-Nov 1980,Sep-Oct-Nov 1981,Sep-Oct-Nov 1982,Sep-Oct-Nov 1983,Sep-Oct-Nov 1984,Sep-Oct-Nov 1985,Sep-Oct-Nov 1986,Sep-Oct-Nov 1987,Sep-Oct-Nov 1988,Sep-Oct-Nov 1989,Sep-Oct-Nov 1990,Sep-Oct-Nov 1991,Sep-Oct-Nov 1992,Sep-Oct-Nov 1993,Sep-Oct-Nov 1994,Sep-Oct-Nov 1995,Sep-Oct-Nov 1996,Sep-Oct-Nov 1997,Sep-Oct-Nov 1998,Sep-Oct-Nov 1999,Sep-Oct-Nov 2000,Sep-Oct-Nov 2001,Sep-Oct-Nov 2002,Sep-Oct-Nov 2003,Sep-Oct-Nov 2004,Sep-Oct-Nov 2005,Sep-Oct-Nov 2006,Sep-Oct-Nov 2007,Sep-Oct-Nov 2008,Sep-Oct-Nov 2009,Sep-Oct-Nov 2010,Sep-Oct-Nov 2011,Sep-Oct-Nov 2012,Sep-Oct-Nov 2013,Sep-Oct-Nov 2014,Sep-Oct-Nov 2015,Sep-Oct-Nov 2016,Sep-Oct-Nov 2017,Sep-Oct-Nov 2018,Sep-Oct-Nov 2019
0.03,-0.122,0.182,-0.527,-0.21,-0.169,-0.045,-0.029,0.135,0.12,-0.355,0.225,0.216,-0.349,0.008,0.187,0.276,-0.241,0.563,0.22,-0.674,-0.61,-0.995,1.293,0.493,0.519,0.601,0.206,-0.844,-0.303,0.211,0.254,-0.335,0.725,0.467,0.465,0.66,1.013,-0.469,0.244,0.408,0.372,0.794,-0.202,0.416,0.372,0.47,0.5,0.868,1.741,1.229,0.661,1.061,0.063,1.543,1.413,1.227,1.544,0.534
0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267,0.267
-0.073,0.108,-0.236,-0.721,0.047,0.15,0.129,0.267,-0.344,-0.093,-0.034,-0.092,0.207,-0.311,-0.28,-0.045,0.246,-0.096,0.454,0.316,0.014,-1.204,0.448,1.148,0.018,-0.964,0.063,0.03,-0.579,0.347,-0.735,0.738,0.476,-0.088,0.842,0.796,-0.797,0.979,-0.538,0.207,0.384,-0.267,0.79,-0.14,0.998,-0.513,0.473,0.609,-0.107,1.494,-0.092,1.058,0.949,0.243,1.033,1.993,0.707,0.535,1.23
0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268
-0.157,-0.012,-0.584,-0.426,0.157,0.482,-0.576,-0.281,-0.025,-0.103,-0.222,0.204,0.049,-0.257,-0.064,-0.151,0.126,-0.17,0.211,0.315,0.312,-0.26,0.379,-0.23,1.341,-0.042,1.814,0.142,1.739,1.088,0.04,-0.551,0.156,-0.292,0.81,0.275,1.467,0.609,0.443,0.761,0.237,0.951,1.008,0.638,0.937,-0.197,0.257,0.041,0.188,0.461,0.375,0.598,0.512,0.811,1.344,1.403,0.897,1.239,1.688
0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299,0.299
0.205,0.226,0.432,0.258,-0.062,-0.096,-0.107,0.258,0.126,-0.31,-0.175,-0.247,-0.219,-0.585,-0.36,-0.154,-0.414,0.159,-0.582,0.558,0.249,-0.161,0.627,-0.26,-0.115,0.006,0.661,0.244,-0.27,0.409,0.314,0.003,0.393,-0.085,0.214,0.069,0.62,0.831,0.588,0.22,0.626,0.726,0.853,0.317,1.061,0.711,0.486,0.118,0.412,0.644,0.332,0.887,0.834,0.468,0.964,0.7,0.891,0.742,1.034
0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316
-0.142,0.133,0.51,-0.13,0.013,0.141,-0.122,0.197,0.308,-0.341,-0.394,-0.192,-0.125,-0.473,-0.578,-0.126,-0.202,-0.227,0.098,0.742,0.085,-0.184,0.221,-0.428,-0.769,0.072,0.819,0.217,-0.133,0.239,-0.043,0.194,0.41,0.165,0.284,0.329,0.499,0.701,0.316,0.347,0.717,0.627,0.525,0.453,0.347,0.784,0.005,0.049,0.83,0.04,0.685,0.74,0.991,0.837,1.345,0.925,0.63,0.392,0.966
0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326,0.326
