Dec-Jan-Feb 1962,Dec-Jan-Feb 1963,Dec-Jan-Feb 1964,Dec-Jan-Feb 1965,Dec-Jan-Feb 1966,Dec-Jan-Feb 1967,Dec-Jan-Feb 1968,Dec-Jan-Feb 1969,Dec-Jan-Feb 1970,Dec-Jan-Feb 1971,Dec-Jan-Feb 1972,Dec-Jan-Feb 1973,Dec-Jan-Feb 1974,Dec-Jan-Feb 1975,Dec-Jan-Feb 1976,Dec-Jan-Feb 1977,Dec-Jan-Feb 1978,Dec-Jan-Feb 1979,Dec-Jan-Feb 1980,Dec-Jan-Feb 1981,Dec-Jan-Feb 1982,Dec-Jan-Feb 1983,Dec-Jan-Feb 1984,Dec-Jan-Feb 1985,Dec-Jan-Feb 1986,Dec-Jan-Feb 1987,Dec-Jan-Feb 1988,Dec-Jan-Feb 1989,Dec-Jan-Feb 1990,Dec-Jan-Feb 1991,Dec-Jan-Feb 1992,Dec-Jan-Feb 1993,Dec-Jan-Feb 1994,Dec-Jan-Feb 1995,Dec-Jan-Feb 1996,Dec-Jan-Feb 1997,Dec-Jan-Feb 1998,Dec-Jan-Feb 1999,Dec-Jan-Feb 2000,Dec-Jan-Feb 2001,Dec-Jan-Feb 2002,Dec-Jan-Feb 2003,Dec-Jan-Feb 2004,Dec-Jan-Feb 2005,Dec-Jan-Feb 2006,Dec-Jan-Feb 2007,Dec-Jan-Feb 2008,Dec-Jan-Feb 2009,Dec-Jan-Feb 2010,Dec-Jan-Feb 2011,Dec-Jan-Feb 2012,Dec-Jan-Feb 2013,Dec-Jan-Feb 2014,Dec-Jan-Feb 2015,Dec-Jan-Feb 2016,Dec-Jan-Feb 2017,Dec-Jan-Feb 2018,Dec-Jan-Feb 2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.086,-0.323,-3.497,-0.284,4.59,0.857,3.147,2.486,1.501,1.719,-4.087,0.977,-2.167,3.059,-0.915,-0.535,-0.405,3.379,4.53,-0.61,1.11,-3.642,2.848,-0.305,-2.758,2.503,2.755
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.177,0.402,0.692,-0.881,0.41,-0.821,-0.334,0.512,0.451,-0.26,-0.502,0.631,-0.925,-0.475,-1.373,0.598,0.786,,0.37,0.455,1.027,0.181,0.24,-0.308,-0.357,0.136,1.457,-0.676,0.11,0.172,-0.763,-0.068,0.429,0.637,1.625,0.126,1.71,0.708,-0.004,0.813,,1.275,0.764,-0.178,-0.501,1.211,0.11,-0.865,1.933,0.148,0.046,0.653,0.29,1.218,0.764,1.592,1.036,0.628
0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705
0.468,-0.137,0.266,-1.162,0.433,-0.827,-0.364,-0.613,-0.279,0.087,-0.359,1.812,-0.033,-0.25,-0.163,0.755,0.731,-0.469,1.427,0.777,0.553,0.997,0.266,0.162,0.068,0.049,0.238,-0.015,0.384,1.304,-0.011,-0.391,-0.439,1.016,-0.281,0.197,1.075,0.324,-0.716,0.108,-0.434,1.117,1.14,0.675,1.118,0.436,0.307,0.261,1.094,-0.318,-0.197,1.366,0.948,1.089,1.246,0.981,1.306,2.051
0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672
-1.162,-4.113,-3.846,-0.696,1.255,0.467,-0.774,-2.547,-4.11,-0.655,2.055,-0.211,-0.439,2.939,-0.04,-1.33,0.04,0.268,3.109,-1.033,-1.181,2.041,0.026,0.509,3.015,-0.205,1.722,1.672,1.474,-0.836,-1.258,0.255,1.826,2.023,-0.439,-1.909,1.931,-0.901,0.325,2.584,-2.324,0.941,0.971,0.665,-0.672,2.831,0.05,1.361,0.536,-1.933,2.642,0.451,2.492,2.563,4.234,1.311,1.179,1.909
1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937,1.937
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.982,-0.903,-2.623,-0.778,3.269,0.17,2.208,2.48,1.204,1.457,-4.735,1.167,-0.793,3.051,-1.121,-0.14,-0.781,2.454,4.814,0.121,0.583,-1.94,1.93,0.654,-1.79,2.041,2.144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.172,-0.959,-1.295,0.55,-0.276,-0.897,0.757,-0.596,-1.484,0.086,1.47,1.226,-0.912,-0.389,-0.447,0.835,0.726,1.663,0.394,-0.591,0.106,0.884,1.643,0.855,0.645,2.052,0.799,0.563,-0.395,1.181,1.084,0.759,0.473,1.491,-0.079,0.404,0.848,2.181,0.558,0.397,1.908,1.231,-0.269,0.207,0.457,2.316,2.065,0.651,2.064,-3.402,1.092,0.892,2.358,-0.201,3.458,2.864,0.858,1.651
0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929,0.929
0.294,0.824,-1.45,-1.899,-0.1,1.23,-1.827,2.208,1.664,-0.17,-1.271,-2.701,-0.458,-0.053,0.029,1.466,2.276,1.976,-0.323,-0.538,1.51,-2.61,0.315,-0.421,0.474,-1.11,0.951,0.878,-0.526,1.785,1.449,-0.177,1.172,-0.943,-0.562,1.354,0.56,3.521,0.885,0.919,4.334,1.212,1.179,-0.891,2.199,-2.674,0.526,-0.964,1.412,1.326,-1.706,1.768,0.426,1.705,0.472,1.964,0.836,2.793
1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
-1.854,-0.215,0.29,0.339,0.312,-0.18,0.281,-0.05,0.069,-0.319,0.165,0.317,-0.459,-0.969,-0.906,-0.44,-0.029,0.362,0.409,0.662,-0.315,-0.659,-0.656,0.168,0.763,0.777,0.84,1.392,-0.665,0.29,-0.539,-0.863,0.591,0.199,-0.051,0.49,0.0,1.343,1.364,0.701,0.933,0.711,1.05,1.682,0.923,0.737,0.126,1.639,-0.027,0.241,0.417,-0.49,0.612,0.429,1.032,2.305,2.063,0.644
0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597
0.368,0.059,0.55,-1.359,0.332,-0.178,-0.687,0.204,0.195,0.566,-0.478,0.172,-1.087,-0.705,-1.022,-0.503,0.308,0.332,0.491,,1.389,,0.283,-0.782,-0.241,-0.244,0.885,0.064,0.108,0.116,-0.016,0.119,0.507,0.429,0.863,0.262,0.945,0.823,0.369,0.178,1.14,,1.2,0.887,0.767,0.942,0.409,-0.584,1.38,1.281,0.899,0.996,-0.158,0.797,1.401,1.556,-0.34,1.015
0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,,0.593,,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.052,2.843,-0.198,-3.96,-3.113,-1.548,-1.67,2.524,3.893,-4.731,-5.892,2.693,3.383,1.116,6.155,2.648,2.777,-0.252,-3.224,4.917,-2.221,3.572,1.108,5.193,1.846,4.213,1.615
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.402,-0.738,1.286,0.998,-0.308,0.004,2.676,0.574,-0.587,-0.424,-4.067,2.753,1.582,2.461,1.428,5.866,1.095,1.465,2.775
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.755,-3.452,-4.031,-0.797,1.721,1.129,-0.933,-2.545,-4.262,-1.009,1.759,0.074,-0.626,3.766,-0.655,-2.013,1.315,0.025,2.749,-0.496,-2.18,0.953,0.268,0.792,2.571,1.381,1.073,3.052,1.729,-0.181,-0.244,0.81,2.314,2.712,-1.931,-2.415,1.654,0.856,1.243,,,,,,,,,,,,,,,,,,,
1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,1.977,,,,,,,,,,,,,,,,,,,
0.549,-0.111,-0.409,0.25,0.291,-1.319,1.042,0.044,0.0,-0.167,0.464,0.465,0.096,-0.403,-0.364,0.507,1.399,2.16,1.08,-0.623,1.34,1.207,2.304,1.402,1.121,1.846,1.554,0.479,0.02,1.195,1.64,1.766,1.156,1.7,1.748,1.729,1.724,1.758,0.538,0.639,2.017,1.506,0.001,1.285,1.865,1.797,1.824,1.359,2.656,-0.436,1.141,2.129,2.078,1.565,3.982,3.242,1.568,2.119
0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772
-0.758,0.039,0.225,0.536,-0.692,0.071,0.562,0.93,0.551,-0.46,-0.242,0.312,0.489,-0.935,-0.097,-0.06,-0.354,0.628,-0.356,-0.781,0.978,0.11,0.92,-0.361,-0.742,-0.645,0.669,-0.247,0.251,1.606,-0.196,0.545,0.749,-0.417,1.391,1.16,1.143,1.189,0.27,0.436,1.807,1.136,0.859,1.735,1.643,0.263,1.253,1.585,1.752,0.806,0.536,1.3,1.024,0.929,-0.376,2.075,1.069,0.76
0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557
